t_s,a_code,b_code,c,d
0.00712,180,112,0,0
0.00713,180,111,0,0
0.00714,180,112,0,0
0.00715,179,112,0,0
0.00716,180,112,0,0
0.00717,180,112,0,0
0.00718,180,112,0,0
0.00719,180,112,0,0
0.0072,179,112,0,0
0.00721,179,112,0,0
0.00722,179,112,0,0
0.00723,180,112,0,0
0.00724,179,112,0,0
0.00725,179,112,0,0
0.00726,179,112,0,0
0.00727,179,112,0,0
0.00728,180,112,0,0
0.00729,180,112,0,0
0.0073,179,112,0,0
0.00731,179,112,0,0
0.00732,180,111,0,0
0.00733,180,112,0,0
0.00734,180,112,0,0
0.00735,179,112,0,0
0.00736,180,112,0,0
0.00737,180,112,0,0
0.00738,180,112,0,0
0.00739,180,112,0,0
0.0074,179,112,0,0
0.00741,180,112,0,0
0.00742,180,112,0,0
0.00743,180,112,0,0
0.00744,180,112,0,0
0.00745,179,111,0,0
0.00746,179,112,0,0
0.00747,180,112,0,0
0.00748,180,111,0,0
0.00749,179,112,0,0
0.0075,115,111,0,0
0.00751,115,112,0,0
0.00752,115,112,0,0
0.00753,115,112,0,0
0.00754,115,112,0,0
0.00755,115,112,0,0
0.00756,115,112,0,0
0.00757,115,112,0,0
0.00758,115,112,0,0
0.00759,115,112,0,0
0.0076,115,112,0,0
0.00761,115,112,0,0
0.00762,115,112,0,0
0.00763,115,112,0,0
0.00764,116,112,0,0
0.00765,115,111,0,0
0.00766,115,112,0,0
0.00767,115,112,0,0
0.00768,115,112,0,0
0.00769,115,112,0,0
0.0077,115,112,0,0
0.00771,115,112,0,0
0.00772,115,112,0,0
0.00773,115,112,0,0
0.00774,115,111,0,0
0.00775,115,112,0,0
0.00776,115,111,0,0
0.00777,115,112,0,0
0.00778,115,112,0,0
0.00779,115,112,0,0
0.0078,115,112,0,0
0.00781,115,111,0,0
0.00782,115,111,0,0
0.00783,115,112,0,0
0.00784,115,112,0,0
0.00785,115,111,0,0
0.00786,115,111,0,0
0.00787,115,112,0,0
0.00788,115,111,0,0
0.00789,116,111,0,0
0.0079,115,112,0,0
0.00791,115,112,0,0
0.00792,115,112,0,0
0.00793,115,112,0,0
0.00794,115,112,0,0
0.00795,115,112,0,0
0.00796,115,111,0,0
0.00797,115,112,0,0
0.00798,115,112,0,0
0.00799,115,112,0,0
0.008,180,112,0,0
0.00801,179,112,0,0
0.00802,180,111,0,0
0.00803,180,112,0,0
0.00804,180,112,0,0
0.00805,180,111,0,0
0.00806,179,111,0,0
0.00807,179,111,0,0
0.00808,179,112,0,0
0.00809,180,112,0,0
0.0081,180,111,0,0
0.00811,179,112,0,0
0.00812,179,112,0,0
0.00813,179,112,0,0
0.00814,180,112,0,0
0.00815,180,112,0,0
0.00816,180,111,0,0
0.00817,179,112,0,0
0.00818,179,112,0,0
0.00819,180,112,0,0
0.0082,180,112,0,0
0.00821,180,112,0,0
0.00822,180,112,0,0
0.00823,180,112,0,0
0.00824,180,112,0,0
0.00825,180,112,0,0
0.00826,180,111,0,0
0.00827,179,112,0,0
0.00828,179,112,0,0
0.00829,180,112,0,0
0.0083,180,112,0,0
0.00831,179,112,0,0
0.00832,179,112,0,0
0.00833,179,112,0,0
0.00834,179,112,0,0
0.00835,180,112,0,0
0.00836,180,112,0,0
0.00837,180,111,0,0
0.00838,179,112,0,0
0.00839,179,112,0,0
0.0084,180,111,0,0
0.00841,180,112,0,0
0.00842,180,112,0,0
0.00843,180,111,0,0
0.00844,180,112,0,0
0.00845,180,112,0,0
0.00846,180,112,0,0
0.00847,180,112,0,0
0.00848,179,112,0,0
0.00849,179,112,0,0
0.0085,115,112,0,0
0.00851,115,112,0,0
0.00852,115,112,0,0
0.00853,115,112,0,0
0.00854,115,111,0,0
0.00855,115,111,0,0
0.00856,116,112,0,0
0.00857,115,112,0,0
0.00858,115,111,0,0
0.00859,115,112,0,0
0.0086,115,112,0,0
0.00861,115,111,0,0
0.00862,115,112,0,0
0.00863,115,111,0,0
0.00864,114,112,0,0
0.00865,115,111,0,0
